Asset Tag #,Serial Number,Item Number,Mfr Part number,From location
ATT07025435,LBGEPE16KZ05005702,,PBP4ACPFAA,12345
ATT06435160,LBLNPW14KZ11027483,,PBP4ACPFAA,12345
ATT06587546,LBLNPW14KZ18019175,,PBP4ACPFAA,12345
